Input Type,n,Trial,Algorithm,Time,Comparisons,Swaps/Data Movements,Recursive Calls,Max Recursion Depth,Peak Memory Bytes,Constant c
random,900,1,Heap Sort,0.05830109992530197,14882,8051,8501,10,7852,6.600819669280678e-06
random,900,1,Merge Sort,0.027585600037127733,7729,8876,1799,11,24304,3.123227032547953e-06
random,900,1,Quick Sort,0.027994200005196035,9566,4456,1193,20,159744,3.1694885046222077e-06
random,900,2,Heap Sort,0.04860099998768419,14958,8083,8533,10,7876,5.502579489519883e-06
random,900,2,Merge Sort,0.036593400058336556,7692,8876,1799,11,171775,4.143085382272461e-06
random,900,2,Quick Sort,0.033160599996335804,10821,4976,1201,25,9432,3.754425576557052e-06
random,900,3,Heap Sort,0.051705599995329976,14939,8068,8518,10,7988,5.8540806588284155e-06
random,900,3,Merge Sort,0.03074189997278154,7698,8876,1799,11,24304,3.4805816403359134e-06
random,900,3,Quick Sort,0.02757229993585497,10350,4169,1195,23,9240,3.1217212021228466e-06
random,900,4,Heap Sort,0.055047000059857965,14960,8090,8540,10,7988,6.232392205216583e-06
random,900,4,Merge Sort,0.03103800001554191,7697,8876,1799,11,24304,3.5141059304236084e-06
random,900,4,Quick Sort,0.027407099958509207,10338,4360,1199,22,9304,3.103017348143663e-06
random,900,5,Heap Sort,0.04895339999347925,14893,8039,8489,10,7988,5.542478031617493e-06
random,900,5,Merge Sort,0.026315800030715764,7707,8876,1799,11,24304,2.9794609480467014e-06
random,900,5,Quick Sort,0.02817450009752065,9803,4264,1187,21,9176,3.189901985625384e-06
random,900,6,Heap Sort,0.05518799996934831,14924,8063,8513,10,7988,6.248356140324552e-06
random,900,6,Merge Sort,0.031834500026889145,7699,8876,1799,11,24304,3.6042852400458852e-06
random,900,6,Quick Sort,0.024906700011342764,8982,4501,1207,22,9368,2.8199233898226163e-06
random,900,7,Heap Sort,0.04617240000516176,14904,8062,8512,10,7988,5.227614685185349e-06
random,900,7,Merge Sort,0.024714099941775203,7720,8876,1799,11,24304,2.7981173119075295e-06
random,900,7,Quick Sort,0.02566269994713366,9398,3919,1187,21,9304,2.905517302330908e-06
random,900,8,Heap Sort,0.04484840005170554,14901,8035,8485,10,7988,5.0777121113728835e-06
