Input Type,n,Algorithm,Avg_Time,Min_Time,Max_Time,Avg_Comparisons,Avg_Swaps_Data_Movements,Avg_Recursive_Calls,Avg_Max_Recursion_Depth,Avg_Peak_Memory_Bytes,Avg_Constant_c
duplicate_heavy,900,Heap Sort,0.04705788000719622,0.04313550004735589,0.052105900016613305,13973.6,7317.7,7767.7,10.0,7974.4,5.327868262247746e-06
duplicate_heavy,900,Merge Sort,0.028887539985589683,0.026739499997347593,0.03268459998071194,7525.4,8876.0,1799.0,11.0,24304.0,3.2706319842734054e-06
duplicate_heavy,900,Quick Sort,0.11664262001868338,0.11001860001124442,0.13562469999305904,44197.7,1612.7,1781.0,110.1,29833.0,1.320621568859311e-05
duplicate_heavy,1000,Heap Sort,0.05287342997035012,0.04882919997908175,0.05818579997867346,15794.5,8267.3,8767.3,10.0,8774.4,5.305496131571436e-06
duplicate_heavy,1000,Merge Sort,0.03285450995899737,0.029623699956573546,0.038400899968110025,8486.3,9976.0,1999.0,11.0,41985.6,3.2967309968330683e-06
duplicate_heavy,1000,Quick Sort,0.14836491998285056,0.1384083000011742,0.1687552999937907,53592.3,1857.8,1981.0,118.8,31005.4,1.4887430406374805e-05
nearly_sorted,100,Heap Sort,0.0029907199903391303,0.002309100003913045,0.004280199995264411,1076.1,627.5,677.5,7.0,1308.0,4.501482128619852e-06
nearly_sorted,100,Merge Sort,0.0019148000283166766,0.0014130000490695238,0.0034549999982118607,456.5,672.0,199.0,8.0,4147.2,2.8820612211078016e-06
nearly_sorted,100,Quick Sort,0.0020677399821579455,0.0010731000220403075,0.004013399942778051,1564.4,118.5,156.2,32.1,1539.2,3.1122587893162352e-06
nearly_sorted,200,Heap Sort,0.00918857001233846,0.0065212000627070665,0.012833300046622753,2555.8,1456.4,1556.4,8.0,2172.8,6.010428365090199e-06
nearly_sorted,200,Merge Sort,0.005124719988089055,0.0041467000264674425,0.006925900001078844,1122.8,1544.0,399.0,9.0,6720.8,3.352182367680107e-06
nearly_sorted,200,Quick Sort,0.004540239996276796,0.0031349998898804188,0.007867999956943095,3344.7,375.4,307.6,37.2,2392.0,2.9698622550947048e-06
nearly_sorted,300,Heap Sort,0.015061870007775724,0.011773600010201335,0.027231500018388033,4182.9,2359.5,2509.5,9.0,3096.8,6.101268632548629e-06
nearly_sorted,300,Merge Sort,0.008381009986624121,0.006717400043271482,0.01382759993430227,1838.7,2488.0,599.0,10.0,9440.0,3.394983047527837e-06
nearly_sorted,300,Quick Sort,0.011437330022454261,0.006973800016567111,0.014393799938261509,6651.6,597.9,458.2,44.7,5292.8,4.633038452070139e-06
nearly_sorted,400,Heap Sort,0.019552969990763815,0.01753179996740073,0.024740300024859607,5929.3,3318.9,3518.9,9.0,3912.8,5.655164073036655e-06
nearly_sorted,400,Merge Sort,0.010489180032163859,0.008940600091591477,0.014281500014476478,2628.2,3488.0,799.0,10.0,11667.2,3.0337096666913733e-06
nearly_sorted,400,Quick Sort,0.015286639996338636,0.009354999987408519,0.02331439999397844,7019.1,979.5,622.0,39.3,35735.9,4.421244309461676e-06
nearly_sorted,500,Heap Sort,0.025992219999898224,0.023180300020612776,0.030897900112904608,7672.7,4280.5,4530.5,9.0,19515.9,5.798091761891603e-06
nearly_sorted,500,Merge Sort,0.013396450015716255,0.011752299964427948,0.015000600018538535,3476.7,4488.0,999.0,10.0,14272.0,2.988349839875978e-06
nearly_sorted,500,Quick Sort,0.02325619999319315,0.014587399899028242,0.033090900047682226,10171.7,1411.1,772.2,44.3,7166.4,5.1877670162058005e-06
nearly_sorted,600,Heap Sort,0.03364055999554694,0.02986609993968159,0.03828139998950064,9600.1,5331.0,5631.0,10.0,20311.9,6.075273756360426e-06
nearly_sorted,600,Merge Sort,0.019581599964294583,0.01671389990951866,0.025268999976105988,4317.2,5576.0,1199.0,11.0,17136.0,3.5363139135131684e-06
nearly_sorted,600,Quick Sort,0.029580289986915885,0.01878110005054623,0.05455390003044158,12661.1,1730.2,928.8,49.1,8712.6,5.3420145053123225e-06
nearly_sorted,700,Heap Sort,0.041476559976581485,0.03735999995842576,0.04630629997700453,11541.2,6392.7,6742.7,10.0,6374.4,6.269273623969043e-06
nearly_sorted,700,Merge Sort,0.022468320024199784,0.019857800099998713,0.02554409997537732,5154.3,6676.0,1399.0,11.0,19344.0,3.396136183476731e-06
nearly_sorted,700,Quick Sort,0.041920740017667414,0.03462489997036755,0.05083510000258684,16269.3,2164.1,1093.2,50.7,24462.4,6.336412417963669e-06
nearly_sorted,800,Heap Sort,0.05032004999229685,0.04417540004942566,0.05909049999900162,13490.6,7454.9,7854.9,10.0,21931.9,6.522293702083955e-06
nearly_sorted,800,Merge Sort,0.026269530004356056,0.02224469999782741,0.029065000009723008,6086.4,7776.0,1599.0,11.0,36545.6,3.4049566749306865e-06
nearly_sorted,800,Quick Sort,0.048544540023431185,0.03200740006286651,0.08667310001328588,19662.6,2454.7,1249.4,49.6,9948.8,6.292158845507052e-06
nearly_sorted,900,Heap Sort,0.05719895000802353,0.04935260000638664,0.07065839995630085,15459.5,8526.7,8976.7,10.0,22737.5,6.476034839118146e-06
nearly_sorted,900,Merge Sort,0.03215733000542968,0.02654910006094724,0.039609799976460636,7009.4,8876.0,1799.0,11.0,24304.0,3.6408358793119387e-06
nearly_sorted,900,Quick Sort,0.05611280000302941,0.046248900005593896,0.0652490999782458,22262.3,2706.9,1383.4,55.0,11028.7,6.3530615105541846e-06
nearly_sorted,1000,Heap Sort,0.06766804999206215,0.060458899941295385,0.08437409996986389,17403.8,9585.4,10085.4,10.0,8774.4,6.790037598566843e-06
nearly_sorted,1000,Merge Sort,0.03575357000809163,0.0303667999105528,0.04295790009200573,7998.5,9976.0,1999.0,11.0,27152.0,3.587632341502557e-06
nearly_sorted,1000,Quick Sort,0.06327080000191927,0.03940150002017617,0.11165610002353787,22787.1,3144.8,1553.6,51.2,26468.0,6.3488028834114595e-06
random,100,Heap Sort,0.003768240020144731,0.001850700005888939,0.007746300077997148,1027.2,579.8,629.8,7.0,1339.2,5.671766384625044e-06
random,100,Merge Sort,0.001815999997779727,0.0012538000009953976,0.003155000042170286,540.0,672.0,199.0,8.0,4069.6,2.733352357287106e-06
random,100,Quick Sort,0.0008214999921619892,0.00057050003670156,0.001321299932897091,659.6,279.4,132.8,13.3,1556.0,1.2364806953924212e-06
random,200,Heap Sort,0.007844499999191613,0.005683300085365772,0.012694699922576547,2454.7,1359.2,1459.2,8.0,2167.2,5.1312451493300535e-06
random,200,Merge Sort,0.005015300016384572,0.0034799000713974237,0.007445499999448657,1280.0,1544.0,399.0,9.0,6710.4,3.280608564492355e-06
